2026/03/17 11:00:50 no config path specified; using /var/lib/derper/derper.key
2026/03/17 11:00:50 STUN server listening on [::]:3478
2026/03/17 11:00:50 No mesh key configured
2026/03/17 11:00:50 derper: serving on :3340 with TLS
2026/03/17 11:00:54 http: TLS handshake error from 10.50.0.2:57520: unexpected EOF
gc 63 @4.197s 0%: 0.095+0.91+0.038 ms clock, 1.1+0.68/0.85/0+0.46 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 64 @4.200s 0%: 0.10+0.54+0.13 ms clock, 1.2+0.78/0.77/0+1.6 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 65 @4.202s 0%: 0.11+0.96+0.082 ms clock, 1.4+0.65/0.95/0+0.98 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 66 @4.204s 0%: 0.12+0.61+0.11 ms clock, 1.4+0.89/0.89/0+1.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 67 @4.206s 0%: 0.11+1.4+0.056 ms clock, 1.4+1.7/0.88/0+0.68 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 68 @4.210s 0%: 0.11+0.79+0.10 ms clock, 1.3+0.73/0.81/0+1.2 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 69 @4.212s 0%: 0.082+0.45+0.093 ms clock, 0.99+0.68/0.84/0+1.1 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 70 @4.214s 0%: 0.11+0.56+0.084 ms clock, 1.3+0.81/0.95/0+1.0 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 71 @4.216s 0%: 0.076+0.94+0.083 ms clock, 0.91+0.63/0.85/0+0.99 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 72 @4.218s 0%: 0.10+0.67+0.087 ms clock, 1.2+0.64/0.83/0+1.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 73 @4.221s 0%: 0.073+0.61+0.073 ms clock, 0.88+0.86/0.76/0+0.88 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 74 @4.223s 0%: 0.081+0.66+0.069 ms clock, 0.98+0.78/0.75/0+0.83 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 75 @4.225s 0%: 0.10+0.76+0.096 ms clock, 1.2+0.66/0.85/0+1.1 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 76 @4.227s 0%: 0.090+0.43+0.046 ms clock, 1.0+0.78/0.77/0+0.55 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 77 @4.229s 0%: 0.10+0.50+0.10 ms clock, 1.2+0.79/0.85/0+1.2 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 78 @4.231s 0%: 0.090+0.55+0.088 ms clock, 1.0+0.70/0.93/0+1.0 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 79 @4.233s 0%: 0.10+1.0+0.10 ms clock, 1.2+0.71/0.84/0+1.2 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 80 @4.236s 0%: 0.089+0.89+0.067 ms clock, 1.0+0.81/1.0/0+0.81 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 81 @4.238s 0%: 0.067+1.1+0.075 ms clock, 0.81+0.73/0.86/0+0.90 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 82 @4.241s 0%: 0.10+0.50+0.083 ms clock, 1.2+0.72/0.80/0+1.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 83 @4.243s 0%: 0.14+0.58+0.057 ms clock, 1.7+0.61/0.86/0+0.68 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 84 @4.245s 0%: 0.10+0.90+0.079 ms clock, 1.2+0.80/0.85/0.030+0.95 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 85 @4.247s 0%: 0.15+1.7+0.12 ms clock, 1.8+0.69/0.79/0+1.5 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 86 @4.252s 0%: 0.081+0.97+0.072 ms clock, 0.98+0.66/0.83/0+0.86 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 87 @4.254s 0%: 0.14+0.90+0.087 ms clock, 1.7+0.83/0.72/0+1.0 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 88 @4.257s 0%: 0.087+1.3+0.084 ms clock, 1.0+1.5/0.83/0+1.0 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 89 @4.260s 0%: 0.11+0.58+0.062 ms clock, 1.4+0.66/0.88/0+0.75 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 90 @4.262s 0%: 0.11+0.65+0.065 ms clock, 1.3+1.1/0.97/0+0.78 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 91 @4.264s 0%: 0.13+0.71+0.10 ms clock, 1.6+1.3/0.88/0+1.2 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 92 @4.266s 0%: 0.19+0.51+0.066 ms clock, 2.3+0.57/0.95/0+0.80 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 93 @4.268s 0%: 0.13+1.0+0.028 ms clock, 1.6+0.60/0.92/0+0.33 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 94 @4.270s 0%: 0.13+0.79+0.069 ms clock, 1.5+0.60/0.82/0+0.83 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 95 @4.273s 0%: 0.090+0.79+0.099 ms clock, 1.0+0.65/0.96/0+1.1 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 96 @4.275s 0%: 0.15+1.1+0.048 ms clock, 1.8+0.73/0.90/0+0.57 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 97 @4.278s 0%: 0.084+0.78+0.071 ms clock, 1.0+0.69/0.91/0+0.85 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 98 @4.281s 0%: 0.10+0.78+0.10 ms clock, 1.2+0.80/0.76/0.028+1.2 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 99 @4.283s 0%: 0.097+1.0+0.079 ms clock, 1.1+0.69/0.98/0+0.95 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 100 @4.286s 0%: 0.10+0.52+0.095 ms clock, 1.2+0.78/0.83/0+1.1 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 101 @4.288s 0%: 0.14+0.96+0.060 ms clock, 1.6+0.91/0.68/0+0.72 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 102 @4.291s 0%: 0.15+0.85+0.051 ms clock, 1.8+0.64/0.90/0+0.61 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
