2026/03/14 08:05:21 Running in dev mode.
2026/03/14 08:05:21 STUN server listening on [::]:3478
2026/03/14 08:05:21 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 08:05:21 No mesh key configured for --dev mode
2026/03/14 08:05:21 derper: serving on :3340
gc 53 @34.827s 0%: 0.19+0.68+0.002 ms clock, 0.39+0.53/0.49/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 54 @34.844s 0%: 0.026+1.0+0.002 ms clock, 0.053+0.69/0.47/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 55 @34.862s 0%: 0.028+1.0+0.003 ms clock, 0.056+0.73/0.43/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 56 @34.879s 0%: 0.032+0.82+0.025 ms clock, 0.064+0.68/0.47/0+0.050 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 57 @34.897s 0%: 0.014+0.68+0.002 ms clock, 0.029+0.67/0.38/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 58 @34.915s 0%: 0.030+0.79+0.013 ms clock, 0.061+0.61/0.52/0+0.027 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 59 @34.932s 0%: 0.045+0.91+0.003 ms clock, 0.090+0.69/0.36/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 60 @34.950s 0%: 0.045+0.93+0.026 ms clock, 0.090+0.69/0.42/0+0.052 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 61 @34.968s 0%: 0.036+0.89+0.005 ms clock, 0.072+0.67/0.50/0+0.011 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 62 @34.986s 0%: 0.034+0.77+0.041 ms clock, 0.068+0.68/0.45/0+0.082 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 63 @35.004s 0%: 0.015+0.99+0.003 ms clock, 0.031+0.57/0.42/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 64 @35.022s 0%: 0.14+0.65+0.047 ms clock, 0.28+0.64/0.39/0+0.095 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 65 @35.040s 0%: 0.026+0.78+0.035 ms clock, 0.053+0.63/0.45/0+0.071 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
