2026/03/15 10:59:31 no config path specified; using /var/lib/derper/derper.key
2026/03/15 10:59:31 STUN server listening on [::]:3478
2026/03/15 10:59:31 No mesh key configured
2026/03/15 10:59:31 derper: serving on :3340 with TLS
2026/03/15 10:59:35 http: TLS handshake error from 10.20.0.20:56496: unexpected EOF
gc 81 @4.247s 0%: 0.17+0.76+0.10 ms clock, 2.8+0.66/1.0/0+1.6 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 82 @4.249s 0%: 0.11+0.63+0.14 ms clock, 1.8+0.66/0.93/0.027+2.2 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 83 @4.251s 0%: 0.19+0.62+0.087 ms clock, 3.1+0.59/0.91/0+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 84 @4.253s 0%: 0.23+0.55+0.15 ms clock, 3.7+0.68/0.89/0+2.4 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 85 @4.255s 0%: 0.13+0.90+0.10 ms clock, 2.1+0.65/0.86/0+1.7 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 86 @4.257s 0%: 0.11+0.58+0.096 ms clock, 1.8+0.64/1.0/0+1.5 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 87 @4.258s 0%: 0.14+0.54+0.15 ms clock, 2.3+0.65/0.89/0+2.4 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 88 @4.260s 0%: 0.084+0.65+0.12 ms clock, 1.3+0.69/1.0/0.005+2.0 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 89 @4.262s 0%: 0.12+0.76+0.14 ms clock, 2.0+0.59/0.94/0+2.2 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 90 @4.264s 0%: 0.10+0.70+0.11 ms clock, 1.7+0.60/1.1/0.072+1.8 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 91 @4.266s 0%: 0.11+0.62+0.086 ms clock, 1.8+0.61/1.0/0.013+1.3 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 92 @4.268s 0%: 0.13+0.55+0.20 ms clock, 2.2+0.59/1.0/0+3.2 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 93 @4.269s 0%: 0.13+0.73+0.092 ms clock, 2.0+0.51/1.1/0+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 94 @4.271s 0%: 0.12+0.62+0.083 ms clock, 1.9+0.52/1.0/0.002+1.3 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 95 @4.273s 0%: 0.14+0.60+0.091 ms clock, 2.3+0.62/0.92/0+1.4 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 96 @4.275s 0%: 0.10+0.59+0.10 ms clock, 1.6+0.57/0.96/0+1.6 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 97 @4.276s 0%: 0.11+0.62+0.12 ms clock, 1.7+0.82/0.87/0+1.9 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 98 @4.278s 0%: 0.21+0.69+0.12 ms clock, 3.3+0.63/0.89/0+1.9 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 99 @4.280s 0%: 0.14+0.73+0.12 ms clock, 2.3+0.71/1.0/0+2.0 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 100 @4.282s 0%: 0.11+0.72+0.065 ms clock, 1.9+0.69/0.82/0+1.0 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 101 @4.284s 0%: 0.13+0.53+0.13 ms clock, 2.2+0.68/0.93/0+2.1 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 102 @4.286s 0%: 0.14+0.69+0.11 ms clock, 2.3+0.76/0.88/0.003+1.7 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 103 @4.287s 0%: 0.14+0.68+0.16 ms clock, 2.2+0.45/1.1/0+2.5 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 104 @4.290s 0%: 0.19+0.44+0.18 ms clock, 3.1+0.83/0.88/0+3.0 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 105 @4.291s 0%: 0.15+0.67+0.16 ms clock, 2.5+0.49/0.93/0+2.6 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
