2026/03/15 12:56:58 no config path specified; using /var/lib/derper/derper.key
2026/03/15 12:56:58 STUN server listening on [::]:3478
2026/03/15 12:56:58 No mesh key configured
2026/03/15 12:56:58 derper: serving on :3340 with TLS
2026/03/15 12:57:02 http: TLS handshake error from 10.20.0.20:57436: unexpected EOF
gc 102 @4.319s 0%: 0.18+0.75+0.070 ms clock, 1.4+0.85/0.82/0+0.56 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 103 @4.321s 0%: 0.090+0.60+0.086 ms clock, 0.72+0.75/0.82/0+0.68 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 104 @4.324s 0%: 0.12+0.68+0.078 ms clock, 0.99+0.73/0.75/0+0.62 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 105 @4.326s 0%: 0.11+0.54+0.088 ms clock, 0.93+0.65/0.80/0+0.70 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 106 @4.329s 0%: 0.10+0.63+0.070 ms clock, 0.87+0.56/0.80/0+0.56 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 107 @4.331s 0%: 0.11+0.58+0.10 ms clock, 0.88+0.77/0.74/0+0.86 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 108 @4.334s 0%: 0.089+0.73+0.071 ms clock, 0.71+0.78/0.73/0+0.56 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 109 @4.336s 0%: 0.15+0.76+0.058 ms clock, 1.2+0.72/0.83/0+0.46 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 110 @4.339s 0%: 0.12+0.61+0.094 ms clock, 1.0+0.87/0.86/0+0.75 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 111 @4.341s 0%: 0.11+0.62+0.068 ms clock, 0.92+0.79/0.77/0+0.55 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
