2026/03/17 14:45:18 no config path specified; using /var/lib/derper/derper.key
2026/03/17 14:45:18 STUN server listening on [::]:3478
2026/03/17 14:45:18 No mesh key configured
2026/03/17 14:45:18 derper: serving on :3340 with TLS
2026/03/17 14:45:22 http: TLS handshake error from 10.50.0.2:45054: unexpected EOF
gc 99 @4.741s 0%: 0.055+0.21+0.053 ms clock, 1.1+0.25/0.57/0+1.0 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 100 @4.742s 0%: 0.087+0.43+0.062 ms clock, 1.7+0.45/0.58/0.022+1.2 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 101 @4.744s 0%: 0.094+0.33+0.076 ms clock, 1.8+0.21/0.72/0+1.5 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 102 @4.745s 0%: 0.083+0.49+0.012 ms clock, 1.6+0.21/0.62/0.075+0.25 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 103 @4.746s 0%: 0.065+0.31+0.053 ms clock, 1.3+0.30/0.59/0+1.0 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 104 @4.747s 0%: 0.060+0.28+0.051 ms clock, 1.2+0.20/0.62/0+1.0 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 105 @4.748s 0%: 0.059+0.28+0.053 ms clock, 1.1+0.32/0.58/0.001+1.0 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 106 @4.749s 0%: 0.053+0.39+0.072 ms clock, 1.0+0.25/0.69/0.073+1.4 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 107 @4.750s 0%: 0.041+0.32+0.099 ms clock, 0.83+0.35/0.60/0.033+1.9 ms cpu, 4->4->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 108 @4.751s 0%: 0.082+0.50+0.054 ms clock, 1.6+0.34/0.68/0.036+1.0 ms cpu, 3->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 109 @4.753s 0%: 0.078+0.32+0.054 ms clock, 1.5+0.36/0.62/0.019+1.0 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 110 @4.754s 0%: 0.072+0.39+0.064 ms clock, 1.4+0.29/0.54/0.061+1.2 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 111 @4.755s 0%: 0.053+0.42+0.074 ms clock, 1.0+0.36/0.64/0.015+1.4 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 112 @4.757s 0%: 0.085+0.29+0.076 ms clock, 1.7+0.27/0.56/0.039+1.5 ms cpu, 4->4->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 113 @4.758s 0%: 0.075+0.46+0.022 ms clock, 1.5+0.30/0.70/0.036+0.44 ms cpu, 3->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 114 @4.759s 0%: 0.071+0.34+0.067 ms clock, 1.4+0.33/0.55/0+1.3 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 115 @4.760s 0%: 0.069+0.44+0.072 ms clock, 1.3+0.36/0.61/0.001+1.4 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 116 @4.762s 0%: 0.094+0.35+0.040 ms clock, 1.8+0.33/0.64/0+0.81 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 117 @4.763s 0%: 0.065+0.51+0.062 ms clock, 1.3+0.34/0.50/0.048+1.2 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 118 @4.765s 0%: 0.055+0.32+0.063 ms clock, 1.1+0.23/0.62/0.079+1.2 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 119 @4.766s 0%: 0.088+0.40+0.071 ms clock, 1.7+0.38/0.65/0.086+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
