2026/03/14 04:30:22 Running in dev mode.
2026/03/14 04:30:22 STUN server listening on [::]:3478
2026/03/14 04:30:22 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 04:30:22 No mesh key configured for --dev mode
2026/03/14 04:30:22 derper: serving on :3340
gc 88 @34.299s 0%: 0.077+0.53+0.070 ms clock, 0.30+0.85/0.43/0+0.28 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 89 @34.304s 0%: 0.040+1.6+0.040 ms clock, 0.16+0.61/0.73/0+0.16 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 90 @34.309s 0%: 0.064+0.66+0.051 ms clock, 0.25+0.54/0.56/0+0.20 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 91 @34.314s 0%: 0.042+1.9+0.034 ms clock, 0.16+0.40/0.76/0+0.13 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 92 @34.319s 0%: 0.072+1.5+0.026 ms clock, 0.28+0.79/0.45/0+0.10 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 93 @34.324s 0%: 0.91+1.0+0.005 ms clock, 3.6+0.49/1.0/0+0.023 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 94 @34.329s 0%: 0.085+1.0+0.093 ms clock, 0.34+0.79/0.48/0+0.37 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 95 @34.334s 0%: 0.059+0.68+0.073 ms clock, 0.23+0.73/0.54/0+0.29 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 96 @34.339s 0%: 0.058+0.70+0.029 ms clock, 0.23+0.61/0.53/0+0.11 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 97 @34.344s 0%: 0.046+0.57+0.034 ms clock, 0.18+0.78/0.48/0+0.13 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 98 @34.349s 0%: 0.088+0.74+0.042 ms clock, 0.35+0.70/0.58/0+0.16 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 99 @34.354s 0%: 0.052+0.88+0.043 ms clock, 0.20+0.78/0/0+0.17 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 100 @34.359s 0%: 0.071+1.0+0.051 ms clock, 0.28+0.60/0.57/0+0.20 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 101 @34.364s 0%: 0.059+0.56+0.063 ms clock, 0.23+0.73/0.45/0+0.25 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 102 @34.369s 0%: 0.065+1.0+0.026 ms clock, 0.26+0.83/0.42/0+0.10 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 103 @34.374s 0%: 0.058+0.76+0.026 ms clock, 0.23+0.75/0.58/0+0.10 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 104 @34.379s 0%: 0.073+0.56+0.052 ms clock, 0.29+0.81/0.42/0+0.20 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 105 @34.384s 0%: 0.022+0.69+0.062 ms clock, 0.089+0.83/0.57/0+0.24 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 106 @34.389s 0%: 0.080+0.69+0.058 ms clock, 0.32+0.73/0.53/0+0.23 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 107 @34.394s 0%: 0.077+0.55+0.048 ms clock, 0.31+0.71/0.48/0+0.19 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 108 @34.398s 0%: 0.097+1.0+0.073 ms clock, 0.39+0.82/0.63/0+0.29 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 109 @34.404s 0%: 0.054+0.80+0.076 ms clock, 0.21+0.78/0.45/0+0.30 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 110 @34.409s 0%: 0.077+1.5+0.023 ms clock, 0.31+0.42/0.60/0+0.095 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 111 @34.414s 0%: 0.38+1.3+0.036 ms clock, 1.5+0.61/1.5/0+0.14 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 112 @34.419s 0%: 0.060+1.0+0.026 ms clock, 0.24+0.72/0.51/0+0.10 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 113 @34.424s 0%: 0.087+0.54+0.029 ms clock, 0.35+0.72/0.47/0+0.11 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 114 @34.429s 0%: 0.24+1.4+0.028 ms clock, 0.97+0.73/1.3/0.050+0.11 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 115 @34.434s 0%: 0.064+1.5+0.047 ms clock, 0.25+0.56/0.50/0+0.18 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 116 @34.440s 0%: 0.078+0.98+0.021 ms clock, 0.31+0.70/0.49/0+0.084 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 117 @34.444s 0%: 0.054+0.61+0.038 ms clock, 0.21+0.69/0.46/0+0.15 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 118 @34.449s 0%: 0.077+1.6+0.022 ms clock, 0.30+0.58/0.52/0+0.091 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 119 @34.454s 0%: 0.061+0.90+0.067 ms clock, 0.24+0.72/0.44/0+0.26 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 120 @34.459s 0%: 1.3+1.7+0.036 ms clock, 5.2+0.39/1.8/0.012+0.14 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 121 @34.465s 0%: 0.050+0.96+0.075 ms clock, 0.20+0.73/0.57/0+0.30 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 122 @34.470s 0%: 0.30+0.73+0.021 ms clock, 1.2+0.24/0.92/0+0.086 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 123 @34.474s 0%: 0.066+1.8+0.029 ms clock, 0.26+0.80/0.48/0+0.11 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 124 @34.480s 0%: 0.047+0.64+0.046 ms clock, 0.18+0.74/0.55/0+0.18 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 125 @34.485s 0%: 0.082+1.3+0.004 ms clock, 0.32+0.95/0.99/0+0.016 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 126 @34.490s 0%: 0.071+0.91+0.070 ms clock, 0.28+0.52/0.71/0.013+0.28 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 127 @34.495s 0%: 0.088+0.58+0.019 ms clock, 0.35+0.79/0.45/0+0.078 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 128 @34.500s 0%: 0.085+1.0+0.025 ms clock, 0.34+1.0/0.15/0+0.10 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 129 @34.504s 0%: 0.064+0.62+0.065 ms clock, 0.25+0.89/0.45/0+0.26 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 130 @34.509s 0%: 0.062+2.2+0.017 ms clock, 0.25+0.42/0.58/0+0.070 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 131 @34.515s 0%: 0.042+0.62+0.047 ms clock, 0.17+0.81/0.50/0+0.19 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 132 @34.520s 0%: 0.053+2.1+0.024 ms clock, 0.21+0.42/0.59/0+0.098 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 133 @34.525s 0%: 0.051+0.77+0.041 ms clock, 0.20+0.65/0.56/0+0.16 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 134 @34.530s 0%: 0.30+2.2+0.058 ms clock, 1.2+1.8/0.79/0+0.23 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 135 @34.535s 0%: 0.081+0.63+0.039 ms clock, 0.32+0.73/0.39/0+0.15 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 136 @34.540s 0%: 0.057+0.70+0.020 ms clock, 0.22+0.87/0.60/0+0.083 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 137 @34.545s 0%: 0.66+1.3+0.026 ms clock, 2.6+0.54/1.1/0+0.10 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 138 @34.550s 0%: 0.066+0.82+0.060 ms clock, 0.26+0.72/0.70/0+0.24 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
